marketDate,securityType,symbol,downRom,upRom,Kurtosis,VaR,Beta
2024-10-31,Other,INFO,-1.0,1.0,0.26612,0.10106,0.95755
2024-10-31,Other,INFR,-1.0,1.0,2.07727,0.24351,0.53435
2024-10-31,CS,INFU,-0.52336,0.66055,0.67406,0.83278,1.01418
2024-10-31,Other,INFY,-1.0,1.0,4.75786,0.36172,0.64543
2024-10-31,Other,ING,-1.0,1.0,4.49728,0.36557,0.65577
2024-10-31,CS,INGM,-0.2736,0.25585,-1.7159,0.24782,-0.32842
2024-10-31,CS,INGN,-0.89326,1.16261,13.78195,1.33149,1.6393
2024-10-31,CS,INGR,-0.25942,0.39685,8.63424,0.26278,0.34223
2024-10-31,CS,INHD,-1.0,1.0,30.45443,2.58226,0.25268
2024-10-31,Other,INKM,-1.0,1.0,3.42852,0.11468,0.32076
